episode_hash,split,manifest_task,task_description,relative_path,abs_zarr_path,user_id,scene_id,environment_id,total_frames,fps,duration_sec,n_subcaptions,annotation_coverage,quality_tier
69b1c40f666aa62abc610449,train,brushing_shoes,Cleaning a black shoe by scrubbing it with a toothbrush dipped in cleaning solution and wiping it with a cloth.,full/human/mecka/fc/69b1c40f666aa62abc610449.zarr,/mnt/lzh/egoVerse/datasets/full/human/mecka/fc/69b1c40f666aa62abc610449.zarr,693b7feabaf2a31958d468f2,repair_bench,shoe_repair_store,1795,30.0,59.833333333333336,8,1.0,pass
69b1c8af45b4a60380cdf7af,train,brushing_shoes,Cleaning a white sneaker using a cloth and a brush dipped in cleaning solution,full/human/mecka/a8/69b1c8af45b4a60380cdf7af.zarr,/mnt/lzh/egoVerse/datasets/full/human/mecka/a8/69b1c8af45b4a60380cdf7af.zarr,6938f373159de37d618c768a,repair_bench,shoe_repair_store,1795,30.0,59.833333333333336,4,1.0,pass
69b1ca19e589ef129317715a,train,brushing_shoes,Cleaning a white sneaker using a brush and a cloth,full/human/mecka/4a/69b1ca19e589ef129317715a.zarr,/mnt/lzh/egoVerse/datasets/full/human/mecka/4a/69b1ca19e589ef129317715a.zarr,6938f373159de37d618c768a,repair_bench,shoe_repair_store,1795,30.0,59.833333333333336,7,1.0,pass
69b1ca2700828a0a0c8690c9,train,brushing_shoes,The person cleans the sole of a shoe by scrubbing it with a brush dipped in liquid and then wiping it dry with a cloth.,full/human/mecka/87/69b1ca2700828a0a0c8690c9.zarr,/mnt/lzh/egoVerse/datasets/full/human/mecka/87/69b1ca2700828a0a0c8690c9.zarr,69377ea8c67c9e4814ae2656,repair_bench,shoe_repair_store,1799,30.0,59.96666666666667,2,1.0,pass
69b1cad2d013bf6b844674b2,train,brushing_shoes,Cleaning a shoe by scrubbing the sole with a brush and wiping it with a cloth,full/human/mecka/cb/69b1cad2d013bf6b844674b2.zarr,/mnt/lzh/egoVerse/datasets/full/human/mecka/cb/69b1cad2d013bf6b844674b2.zarr,693b7feabaf2a31958d468f2,repair_bench,shoe_repair_store,1793,30.0,59.766666666666666,6,1.0,pass
69b1cc2b5cc42faa9968178c,train,brushing_shoes,Cleaning the rubber sole of a canvas shoe using a brush and cleaning solution.,full/human/mecka/25/69b1cc2b5cc42faa9968178c.zarr,/mnt/lzh/egoVerse/datasets/full/human/mecka/25/69b1cc2b5cc42faa9968178c.zarr,693b7feabaf2a31958d468f2,repair_bench,shoe_repair_store,1795,30.0,59.833333333333336,3,1.0,pass
69b1f3ea5a0fb3802c89c869,train,brushing_shoes,Cleaning the interior of a white sandal using a green brush and dipping it in cleaning solution.,full/human/mecka/01/69b1f3ea5a0fb3802c89c869.zarr,/mnt/lzh/egoVerse/datasets/full/human/mecka/01/69b1f3ea5a0fb3802c89c869.zarr,693f7a6de47a7c25fe349a60,repair_bench,shoe_repair_store,1945,30.0,64.83333333333333,3,0.9994858611825193,pass
69b20b031fa85f581929ee7e,train,brushing_shoes,Cleaning a black running shoe using a toothbrush and soapy water,full/human/mecka/0e/69b20b031fa85f581929ee7e.zarr,/mnt/lzh/egoVerse/datasets/full/human/mecka/0e/69b20b031fa85f581929ee7e.zarr,6938384bc67c9e4814aebff1,repair_bench,shoe_repair_store,1945,30.0,64.83333333333333,7,0.9994858611825193,pass
69b218b8bf61da11df3fee35,train,brushing_shoes,The person cleans a black shoe using a green brush and liquid from a container.,full/human/mecka/5e/69b218b8bf61da11df3fee35.zarr,/mnt/lzh/egoVerse/datasets/full/human/mecka/5e/69b218b8bf61da11df3fee35.zarr,694a00ab5c0479a0fb85e98f,repair_bench,shoe_repair_store,1945,30.0,64.83333333333333,5,0.9994858611825193,pass
69b22224f8447b68e7d50f2a,train,brushing_shoes,The person is cleaning a shoe by repeatedly scrubbing it with a brush dipped in liquid.,full/human/mecka/f4/69b22224f8447b68e7d50f2a.zarr,/mnt/lzh/egoVerse/datasets/full/human/mecka/f4/69b22224f8447b68e7d50f2a.zarr,693f7a6de47a7c25fe349a60,repair_bench,shoe_repair_store,1945,30.0,64.83333333333333,5,0.9994858611825193,pass
69b249225b56e7311fe82725,train,brushing_shoes,The person is cleaning the bottom of a shoe using a brush and cleaning solution from a nearby container.,full/human/mecka/d7/69b249225b56e7311fe82725.zarr,/mnt/lzh/egoVerse/datasets/full/human/mecka/d7/69b249225b56e7311fe82725.zarr,693f78abe47a7c25fe3499ae,repair_bench,shoe_repair_store,1918,30.0,63.93333333333333,3,1.0,pass
69b27270a925bb63fc2f9155,train,brushing_shoes,A person picks up a sneaker and thoroughly brushes the dirt off its sole using a small brush.,full/human/mecka/44/69b27270a925bb63fc2f9155.zarr,/mnt/lzh/egoVerse/datasets/full/human/mecka/44/69b27270a925bb63fc2f9155.zarr,693837e6c67c9e4814aebf27,repair_bench,shoe_repair_store,2003,30.0,66.76666666666667,3,1.0,pass
