episode_hash,split,manifest_task,relative_path,span_index,start_idx,end_idx,duration_sec,text_normalized
69b1c40f666aa62abc610449,train,brushing_shoes,full/human/mecka/fc/69b1c40f666aa62abc610449.zarr,0,0,350,11.666666666666666,scrub shoe with brush
69b1c40f666aa62abc610449,train,brushing_shoes,full/human/mecka/fc/69b1c40f666aa62abc610449.zarr,1,350,470,4.0,wipe shoe with cloth
69b1c40f666aa62abc610449,train,brushing_shoes,full/human/mecka/fc/69b1c40f666aa62abc610449.zarr,2,470,999,17.633333333333333,scrub shoe with brush
69b1c40f666aa62abc610449,train,brushing_shoes,full/human/mecka/fc/69b1c40f666aa62abc610449.zarr,3,999,1130,4.366666666666666,wipe shoe with cloth
69b1c40f666aa62abc610449,train,brushing_shoes,full/human/mecka/fc/69b1c40f666aa62abc610449.zarr,4,1130,1164,1.1333333333333333,adjust brush in container
69b1c40f666aa62abc610449,train,brushing_shoes,full/human/mecka/fc/69b1c40f666aa62abc610449.zarr,5,1164,1449,9.5,scrub shoe with brush
69b1c40f666aa62abc610449,train,brushing_shoes,full/human/mecka/fc/69b1c40f666aa62abc610449.zarr,6,1449,1689,8.0,wipe shoe with cloth
69b1c40f666aa62abc610449,train,brushing_shoes,full/human/mecka/fc/69b1c40f666aa62abc610449.zarr,7,1689,1795,3.533333333333333,adjust brush in container
69b1c8af45b4a60380cdf7af,train,brushing_shoes,full/human/mecka/a8/69b1c8af45b4a60380cdf7af.zarr,0,0,69,2.3,scrub shoe with brush
69b1c8af45b4a60380cdf7af,train,brushing_shoes,full/human/mecka/a8/69b1c8af45b4a60380cdf7af.zarr,1,69,542,15.766666666666667,wipe shoe with cloth
69b1c8af45b4a60380cdf7af,train,brushing_shoes,full/human/mecka/a8/69b1c8af45b4a60380cdf7af.zarr,2,542,1389,28.23333333333333,"dip brush in cup, scrub shoe with brush"
69b1c8af45b4a60380cdf7af,train,brushing_shoes,full/human/mecka/a8/69b1c8af45b4a60380cdf7af.zarr,3,1389,1795,13.533333333333331,"dip brush in cup, scrub shoe with brush"
69b1ca19e589ef129317715a,train,brushing_shoes,full/human/mecka/4a/69b1ca19e589ef129317715a.zarr,0,0,969,32.3,scrub shoe with brush
69b1ca19e589ef129317715a,train,brushing_shoes,full/human/mecka/4a/69b1ca19e589ef129317715a.zarr,1,969,1029,2.0,"place brush on plastic container, pick up cloth"
69b1ca19e589ef129317715a,train,brushing_shoes,full/human/mecka/4a/69b1ca19e589ef129317715a.zarr,2,1029,1248,7.3,wipe shoe with cloth
69b1ca19e589ef129317715a,train,brushing_shoes,full/human/mecka/4a/69b1ca19e589ef129317715a.zarr,3,1248,1278,1.0,place cloth on table
69b1ca19e589ef129317715a,train,brushing_shoes,full/human/mecka/4a/69b1ca19e589ef129317715a.zarr,4,1278,1389,3.7,"pick up shoe, adjust shoe"
